iter	Logloss
0	0.4807992022
1	0.3465777083
2	0.2602451177
3	0.2014983175
4	0.1473656764
5	0.1143965293
6	0.09714804143
7	0.07860372369
8	0.06722216566
9	0.05768684404
10	0.05103874018
11	0.04613760872
12	0.04077177979
13	0.0374103897
14	0.03273907927
15	0.0302848431
16	0.02781490112
17	0.02585044047
18	0.02535428976
19	0.02376062902
20	0.02352816133
21	0.02227188609
22	0.02218802781
23	0.02167730353
24	0.02150824799
25	0.02093732425
26	0.02005430513
27	0.019133894
28	0.0188246459
29	0.01853429472
30	0.01842198253
31	0.01819347733
32	0.01713170242
33	0.01691528337
34	0.01677063858
35	0.01579602771
36	0.01554311202
37	0.01531071585
38	0.01523168152
39	0.01430171875
40	0.01414302709
41	0.01399262666
42	0.01382752394
43	0.01368758399
44	0.01361105494
45	0.01310421193
46	0.01301976557
47	0.01282816284
48	0.01230092777
49	0.01148762889
50	0.0110950658
51	0.01103570597
52	0.0102563333
53	0.01016573288
54	0.01004460096
55	0.009455362178
56	0.009345041562
57	0.009212891272
58	0.009144535102
59	0.009113977728
60	0.008637377302
61	0.008569461618
62	0.008482055806
63	0.008377844106
64	0.008343285706
65	0.008263783524
66	0.008205552645
67	0.008181481524
68	0.008120004397
69	0.007513013519
70	0.007165592375
71	0.00708209839
72	0.007048301164
73	0.006751013531
74	0.006676086293
75	0.006609605537
76	0.006530078584
77	0.006243834512
78	0.006221310825
79	0.006179240093
80	0.006134716594
81	0.006134735044
82	0.006082776218
83	0.006042055093
84	0.00580957393
85	0.005785798991
86	0.00574618716
87	0.005725215724
88	0.005687072362
89	0.005651159704
90	0.00530642879
91	0.005295246764
92	0.005254237151
93	0.005236858756
94	0.005187462854
95	0.005160290241
96	0.004852425166
97	0.00480339242
98	0.004782382891
99	0.004770851548
100	0.004550168566
101	0.004527816858
102	0.00448113068
103	0.004458038935
104	0.004438680465
105	0.004438627574
106	0.004408789768
107	0.004408768963
108	0.004217143273
109	0.004189683679
110	0.004164067566
111	0.004143411582
112	0.004122684808
113	0.003863756208
114	0.003863578675
115	0.003827576689
116	0.00380544182
117	0.003780515403
118	0.003571706458
119	0.003571709328
120	0.003545035108
121	0.003510918922
122	0.003491184119
123	0.003469875901
124	0.003345979122
125	0.003319290694
126	0.003319281879
127	0.003211452302
128	0.003193530468
129	0.003171305108
130	0.003171093992
131	0.003170990633
132	0.003165927293
133	0.003165905562
134	0.003165848902
135	0.003165810157
136	0.003165749066
137	0.003165733486
138	0.00316571606
139	0.00316571032
140	0.003165703555
141	0.003165654969
142	0.003165639184
143	0.003165639184
144	0.003165617044
145	0.00315618475
146	0.003136013763
147	0.00313600427
148	0.003135883381
149	0.003135867391
150	0.003135840741
151	0.003135833975
152	0.00313581819
153	0.003129414486
154	0.003129416126
155	0.002988625365
156	0.002988561199
157	0.002988555459
158	0.002988551501
159	0.002988545556
160	0.002988558881
161	0.002988544326
162	0.00298847688
163	0.002988434365
164	0.002988386395
165	0.002983881855
166	0.002983865455
167	0.00298385008
168	0.002983755163
169	0.002983732613
170	0.002983728513
171	0.00298372107
172	0.002983400918
173	0.002983333472
174	0.00298097879
175	0.002962393922
176	0.002962358456
177	0.002958105351
178	0.002869163977
179	0.002869126052
180	0.002869099527
181	0.002868784437
182	0.002868809038
183	0.002868779927
184	0.002868792227
185	0.002868779312
186	0.002868697926
187	0.00286846736
188	0.002868429372
189	0.002868425682
190	0.002859294712
191	0.002841154675
192	0.002841132534
193	0.002841032146
194	0.002841032146
195	0.00284097823
196	0.002840949529
197	0.002840921444
198	0.002840906479
199	0.002840858918
